Source,Target,Type,Id,Label,timeset,Weight,a,tender_indicator_integrity_single_bid,tender_indicator_integrity_call_for_tender_publication,tender_indicator_integrity_advertisement_period,tender_indicator_integrity_procedure_type,tender_indicator_integrity_decision_period,tender_indicator_integrity_tax_haven,tender_indicator_integrity_new_company,tender_indicator_administrative_centralized_procurement,tender_indicator_administrative_electronic_auction,tender_indicator_administrative_covered_by_gpa,tender_indicator_administrative_framework_agreement,tender_indicator_administrative_english_as_foreign_language,tender_indicator_administrative_notice_and_award_discrepancies,tender_indicator_transparency_number_of_key_missing_fields,mean_cri,cri_cat
EU_body_4826f5ae7abe2de0eb13bf46add427feaf37c3173d4547bc848534f988f5bcfa,EU_body_5db156d567ad6604d35124ccc7c5433ded6dba2c9d19a6f791709c9f7f89282b,Undirected,49054,,,2,97790,100,100,100,100,NA,100,NA,NA,0,0,0,0,91.6667,NA,59.16667,high
EU_body_4826f5ae7abe2de0eb13bf46add427feaf37c3173d4547bc848534f988f5bcfa,EU_body_b6dbdc73632067c4064d3d7541edc9c86ec93626437faad47b594af5d23d8480,Undirected,49053,,,1,49238,100,100,100,100,NA,NA,NA,NA,0,0,0,0,83.3333,NA,53.7037,high
EU_body_0f9b44de94155b14738ffb4e2dc45f8ffbac96408f6eb0c16001eef93d586df0,EU_body_49aa503922443774584401266b466db74cb30f5c2cfd3b7d1e668f2a538926c5,Undirected,97904,,,1,98380,100,100,100,100,NA,100,NA,NA,100,0,0,0,91.6667,NA,69.16667,high
EU_body_8c98feddef485f11eddc2e8dfefa971b888c482f11f8245961d1435e05cfc3c9,EU_body_6a00b80c5188758ed449bbf8396389cf402797b7754e1a0634fd4a5ed6708df9,Undirected,146181,,,1,146973,0,100,100,100,NA,100,NA,NA,0,0,0,0,83.3333,NA,48.33333,medium
EU_body_c6619bc03888ab4481c145a28d4929f5c132ad79339df47de90120bb590a0f11,EU_body_3c4ad3f65387b4fd0f3512500c49d902fd8ed9927930e2a1ca9135a3d70b0795,Undirected,192687,,,1,193479,100,100,100,100,NA,NA,NA,NA,0,0,0,0,60,NA,51.111111,medium
EU_body_0e5e5f3fc748af434933ea5861a5f1883c417269a316f2ed65e00e7008825234,EU_body_31ef16bbd93bfee2d0be4716a6612a319a735d38293468f3d70be96c08231151,Undirected,49155,,,1,49340,100,100,100,100,NA,NA,NA,NA,0,0,100,0,90.9091,NA,65.656567,high
EU_body_0e5e5f3fc748af434933ea5861a5f1883c417269a316f2ed65e00e7008825234,EU_body_6f47bf14762896be23c60088a948617649954a8ea3e06af6a8c3228e6f999e9b,Undirected,49154,,,1,49339,100,100,100,100,NA,NA,NA,NA,0,0,100,0,90.9091,NA,65.656567,high
EU_body_388484b37c590276ed2f8d2ff92cbfcdc931d1ad23380a86dd0f08cb92d72a41,EU_body_4bfeb64c8c63156702680872ba8fb174c7cf6b156a78b0288753ee061e87510e,Undirected,50016,,,1,50335,0,100,100,100,NA,100,NA,NA,0,0,0,0,91.6667,NA,49.16667,medium
EU_body_388484b37c590276ed2f8d2ff92cbfcdc931d1ad23380a86dd0f08cb92d72a41,EU_body_c76349d9a8d88ee4e3a84a9e7d073393e7423fae20d8f7bf74b872eb0d521f0a,Undirected,50015,,,1,50334,0,100,100,100,NA,100,NA,NA,0,0,0,0,91.6667,NA,49.16667,medium
EU_body_388484b37c590276ed2f8d2ff92cbfcdc931d1ad23380a86dd0f08cb92d72a41,EU_body_87d90f2246c385e69e506464f4dd69954223097f59e9fddce330d6cc4d58dbae,Undirected,49486,,,1,49726,100,100,100,100,NA,100,NA,NA,0,0,0,0,91.6667,NA,59.16667,high
EU_body_388484b37c590276ed2f8d2ff92cbfcdc931d1ad23380a86dd0f08cb92d72a41,EU_body_3b271552e19d7c18b239807527136a0cbc494a9dfd59840a46d27b0745c14a10,Undirected,49283,,,1,49468,0,100,100,100,NA,100,NA,NA,100,0,0,0,83.3333,NA,58.33333,high
EU_body_388484b37c590276ed2f8d2ff92cbfcdc931d1ad23380a86dd0f08cb92d72a41,EU_body_dfa869d8b57e01ca5d80cec33c6b3fdbfed4699896e7d1c21f4b8c6508f74581,Undirected,49156,,,3,145636,0,0,100,0,0,NA,NA,NA,0,0,0,,,NA,12.5,low
EU_body_069b826a132bb3e5e19822f7cdd621e99ce1fcd082f364abe682935ffc590b1f,hash::group_EU_body_d481da62356c0586fb4ef926c17ca81bd8c07bbac7110543f8fdcea29f90bd3e,Undirected,145079,,,1,145663,100,100,100,100,NA,NA,NA,NA,0,0,0,0,91.6667,NA,54.629633,high
EU_body_069b826a132bb3e5e19822f7cdd621e99ce1fcd082f364abe682935ffc590b1f,EU_body_be7faf69634c2d3f301cbfbd993b714714d69074d19e59c7914ff8c9cbb986eb,Undirected,145076,,,1,145660,100,100,100,100,NA,NA,NA,NA,0,0,0,0,91.6667,NA,54.629633,high
EU_body_069b826a132bb3e5e19822f7cdd621e99ce1fcd082f364abe682935ffc590b1f,EU_body_4090f62561fb57dead0d3549ac2942fa29ae79a9d2992fc9262ab83e1745edec,Undirected,145075,,,1,145659,100,100,100,100,NA,NA,NA,NA,0,0,0,0,91.6667,NA,54.629633,high
EU_body_069b826a132bb3e5e19822f7cdd621e99ce1fcd082f364abe682935ffc590b1f,EU_body_fddaa03819d2f1e63eb57ba5d02d758720774aab1fd620e5cbc4adbd08c03797,Undirected,49182,,,1,49367,100,100,100,100,NA,NA,NA,NA,0,0,0,0,91.6667,NA,54.629633,high
EU_body_f296c44152f1b8e377fc5aa0c368e48c003702a9a8b9d1376320b17470b2394b,EU_body_afed37b4f6f21aa0c4cdfa60ade31ccf28afaf488052fe24522ed44dbc000eb7,Undirected,49203,,,1,49388,100,100,100,100,NA,NA,NA,NA,0,0,0,0,91.6667,NA,54.629633,high
EU_body_f296c44152f1b8e377fc5aa0c368e48c003702a9a8b9d1376320b17470b2394b,EU_body_b3abdbc72d053d77bcc12f962af2e39010384b2c0e46558160d4bf292d3d188b,Undirected,49197,,,1,49382,100,100,100,100,NA,NA,NA,NA,0,0,0,0,91.6667,NA,54.629633,high
EU_body_f296c44152f1b8e377fc5aa0c368e48c003702a9a8b9d1376320b17470b2394b,EU_body_437bd44c7853e49382932777e4fe1342adf0f65d59aca235b86c7f825ba68d5d,Undirected,49192,,,1,49377,100,100,100,100,NA,NA,NA,NA,0,0,0,0,91.6667,NA,54.629633,high
EU_body_f296c44152f1b8e377fc5aa0c368e48c003702a9a8b9d1376320b17470b2394b,EU_body_f7e63dfe4d06d01c40085e86bab402e6f06d0d310223e487be5a6a4e8f068178,Undirected,49189,,,1,49374,100,100,100,100,NA,NA,NA,NA,0,0,0,0,91.6667,NA,54.629633,high
EU_body_59b6f71d2dd2be749b5f3e3173e083f9d221c421ce5d440b23bf71eb2f1467e2,EU_body_63ec020f75230660313d69ce28ce3c2daae6b5b231cd0a114dbc9f56d1f42a09,Undirected,193513,,,1,194373,100,100,100,100,NA,NA,NA,NA,0,0,100,0,83.3333,NA,64.814811,high
EU_body_c13459cc1ffebbe7c0d4db37cdf51256c383d588fa2140e919e6bbcc12ad4a69,EU_body_f8a3913b9c3e37d81204c487e98aa0d72729bdfe69b99d060bb28fcaaa330744,Undirected,98086,,,1,98603,0,100,100,100,NA,100,NA,NA,100,0,0,0,83.3333,NA,58.33333,high
EU_body_c13459cc1ffebbe7c0d4db37cdf51256c383d588fa2140e919e6bbcc12ad4a69,EU_body_9c2d311332a54f0948e66fac05765874e70b3174b74ed9e780d1bc4db92f69b2,Undirected,192664,,,1,193456,0,100,100,100,NA,NA,NA,NA,0,0,0,0,90.9091,NA,43.434344,low
EU_body_b7268cc3416fc7eee75625e302226f4d80b069bc31a979458cb414cf6ff98dc5,EU_body_5896a3c917b237b3d2106cfdfe50b6428c1a370b3329e0b960c71b82bbf47b78,Undirected,145776,,,1,146383,100,100,100,100,NA,100,NA,NA,0,0,0,0,83.3333,NA,58.33333,high
EU_body_b7268cc3416fc7eee75625e302226f4d80b069bc31a979458cb414cf6ff98dc5,EU_body_0b7066a3a860181191ae61d05ad813d44d729ecd1428487e3d618cdba9f262bc,Undirected,49242,,,1,49427,100,100,100,100,NA,NA,NA,NA,100,0,0,0,83.3333,NA,64.814811,high
EU_body_b7268cc3416fc7eee75625e302226f4d80b069bc31a979458cb414cf6ff98dc5,EU_body_ad3799bf75f0586a727b9432178395f5bfbf4c13af14b9501a9e1bbb2224d1c4,Undirected,49241,,,1,49426,100,100,100,100,NA,NA,NA,NA,100,0,0,0,83.3333,NA,64.814811,high
EU_body_dbf2cf6aae6933b37689abd2043abcfd1d2605256e5a9b80f65ef5addcbb8170,EU_body_f8b2430be9a54e42b1be64676ee03ddddf293422f38e9d05568a542c2d82e908,Undirected,96613,,,1,97000,100,100,100,100,NA,NA,NA,NA,100,0,0,0,81.8182,NA,64.646467,high
EU_body_18e8449ce0031307121b9a1b27a0fec520253a176362b4fa33f8ef2111e78efe,EU_body_8400f829b9a00abce56a2fb7870b328267ab5668bb21fcccaa19f0cf923fe9f6,Undirected,98160,,,1,98685,100,0,100,0,0,100,NA,NA,0,0,0,,,NA,33.333333,low
EU_body_18e8449ce0031307121b9a1b27a0fec520253a176362b4fa33f8ef2111e78efe,EU_body_23d4d4ebd81d954059d130d92503d73af623ca666979f96406aa316d34cb4684,Undirected,98159,,,1,98684,100,0,100,0,0,100,NA,NA,0,0,0,,,NA,33.333333,low
EU_body_18e8449ce0031307121b9a1b27a0fec520253a176362b4fa33f8ef2111e78efe,EU_body_7c772cd21749e8d94a6de92eca48e59912b8c1d8d0c31cfac79b3bae569a9f18,Undirected,49277,,,1,49462,100,100,100,100,NA,NA,NA,NA,100,0,0,0,83.3333,NA,64.814811,high
EU_body_99589b8fdfe816d672f5d91815ca74b7401f01a2e4cba2a4f5fde757e0c22917,EU_body_ab09fcd1172538ed42e351c09a459da60d8e91f8b5d7a8cdd10d5b08236b4e6e,Undirected,49281,,,1,49466,100,100,100,100,NA,NA,NA,NA,0,0,0,0,87.5,NA,54.166667,high
EU_body_22aebebea867e6896b16c7d30866478198e4a34804f770767018bd7de2f6ec1a,EU_body_3b271552e19d7c18b239807527136a0cbc494a9dfd59840a46d27b0745c14a10,Undirected,50247,,,1,50631,100,100,100,100,NA,100,NA,NA,0,100,100,0,91.6667,NA,79.16667,high
EU_body_c13459cc1ffebbe7c0d4db37cdf51256c383d588fa2140e919e6bbcc12ad4a69,EU_body_1074fb8fa02374b6e4645605d3f42143949ccd88cbabed16088c359a93e0db90,Undirected,98085,,,1,98602,0,100,100,100,NA,100,NA,NA,0,0,0,0,83.3333,NA,48.33333,medium
EU_body_c13459cc1ffebbe7c0d4db37cdf51256c383d588fa2140e919e6bbcc12ad4a69,EU_body_5ecc541fab9a27be396c6c0cc0644b9b5c1da50e4556513409d132bcdcd2a83f,Undirected,98072,,,1,98589,100,0,100,0,0,100,NA,NA,0,0,0,,,NA,33.333333,low
EU_body_c13459cc1ffebbe7c0d4db37cdf51256c383d588fa2140e919e6bbcc12ad4a69,EU_body_ea45a77d03210499bc729958d981f84dc0a76666517e65f2e31f55688b03ed7b,Undirected,49868,,,3,195859,0,100,100,100,NA,100,NA,NA,100,0,0,0,83.3333,NA,58.33333,high
EU_body_c13459cc1ffebbe7c0d4db37cdf51256c383d588fa2140e919e6bbcc12ad4a69,EU_body_47f4438afc36b0ce0c6a20dc9a0f56dc321ca0719818c2b0ad3692cae727902f,Undirected,49286,,,1,49471,100,100,100,100,NA,100,NA,NA,0,0,100,0,92.8571,NA,69.28571,high
EU_body_48298a050d1bc0aad9084a94f6c4519909de161df9c5d0384e8c83694fdfc4ed,EU_body_a3506e686f47874c292eb0b59a0d1a009af20f48a512d56e268b7e337bdea795,Undirected,49802,,,1,50111,100,100,100,100,NA,100,NA,NA,0,0,100,0,93.3333,NA,69.33333,high
EU_body_8968addc03be953034642dfbf6ffac2d97ed2e17a4a3fada43cb18d13ccd07b5,EU_body_800bbbb82f5419a2ff2d66ed52bee79e5bc8e2db51c5d5c67321f231042f1390,Undirected,49379,,,1,49564,100,100,100,100,NA,100,NA,NA,0,0,100,0,91.6667,NA,69.16667,high
EU_body_8968addc03be953034642dfbf6ffac2d97ed2e17a4a3fada43cb18d13ccd07b5,EU_body_485709138b99aeae8e4833b7778f0b4f884280503b9d9d9b5da10d6334c0b03d,Undirected,49376,,,1,49561,100,100,100,100,NA,100,NA,NA,0,0,100,0,91.6667,NA,69.16667,high
